trait_type	phenocode	description	pheno_sex	n_cases_full_cohort_both_sexes
categorical	20002	Non-cancer illness code, self-reported	both_sexes	249
categorical	20002	Non-cancer illness code, self-reported	both_sexes	405
categorical	20002	Non-cancer illness code, self-reported	both_sexes	415
categorical	20002	Non-cancer illness code, self-reported	both_sexes	224
categorical	20002	Non-cancer illness code, self-reported	both_sexes	581
categorical	20002	Non-cancer illness code, self-reported	both_sexes	174
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1239
categorical	20002	Non-cancer illness code, self-reported	both_sexes	148
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1535
categorical	20002	Non-cancer illness code, self-reported	both_sexes	745
categorical	20002	Non-cancer illness code, self-reported	both_sexes	104
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3500
categorical	20002	Non-cancer illness code, self-reported	both_sexes	12694
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1410
categorical	20002	Non-cancer illness code, self-reported	both_sexes	665
categorical	20002	Non-cancer illness code, self-reported	both_sexes	403
categorical	20002	Non-cancer illness code, self-reported	both_sexes	694
categorical	20002	Non-cancer illness code, self-reported	both_sexes	976
categorical	20002	Non-cancer illness code, self-reported	both_sexes	4668
categorical	20002	Non-cancer illness code, self-reported	both_sexes	6376
categorical	20002	Non-cancer illness code, self-reported	both_sexes	582
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1400
categorical	20002	Non-cancer illness code, self-reported	both_sexes	191
categorical	20002	Non-cancer illness code, self-reported	both_sexes	24811
categorical	20002	Non-cancer illness code, self-reported	both_sexes	5800
categorical	20002	Non-cancer illness code, self-reported	both_sexes	631
categorical	20002	Non-cancer illness code, self-reported	both_sexes	455
categorical	20002	Non-cancer illness code, self-reported	both_sexes	196
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1159
categorical	20002	Non-cancer illness code, self-reported	both_sexes	945
categorical	20002	Non-cancer illness code, self-reported	both_sexes	7688
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2041
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3367
categorical	20002	Non-cancer illness code, self-reported	both_sexes	664
categorical	20002	Non-cancer illness code, self-reported	both_sexes	6917
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3720
categorical	20002	Non-cancer illness code, self-reported	both_sexes	7185
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1185
categorical	20002	Non-cancer illness code, self-reported	both_sexes	152
categorical	20002	Non-cancer illness code, self-reported	both_sexes	350
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2601
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1333
categorical	20002	Non-cancer illness code, self-reported	both_sexes	809
categorical	20002	Non-cancer illness code, self-reported	both_sexes	168
categorical	20002	Non-cancer illness code, self-reported	both_sexes	173
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2993
categorical	20002	Non-cancer illness code, self-reported	both_sexes	885
categorical	20002	Non-cancer illness code, self-reported	both_sexes	471
categorical	20002	Non-cancer illness code, self-reported	both_sexes	384
categorical	20002	Non-cancer illness code, self-reported	both_sexes	127
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1875
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3707
categorical	20002	Non-cancer illness code, self-reported	both_sexes	25091
categorical	20002	Non-cancer illness code, self-reported	both_sexes	247
categorical	20002	Non-cancer illness code, self-reported	both_sexes	5993
categorical	20002	Non-cancer illness code, self-reported	both_sexes	413
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1779
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3078
categorical	20002	Non-cancer illness code, self-reported	both_sexes	372
categorical	20002	Non-cancer illness code, self-reported	both_sexes	622
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3110
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1606
categorical	20002	Non-cancer illness code, self-reported	both_sexes	377
