pgs_id	name	trait	n_variants	ftp_scoring_file
PGS002377	biochemistry_Cholesterol.BOLT-LMM-BBJ	Total cholesterol	920922	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002377/ScoringFiles/PGS002377.txt.gz
PGS002378	biochemistry_Triglycerides.BOLT-LMM-BBJ	Triglycerides	920927	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002378/ScoringFiles/PGS002378.txt.gz
PGS002379	disease_T2D.BOLT-LMM-BBJ	Type 2 diabetes (T2D)	920930	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002379/ScoringFiles/PGS002379.txt.gz
PGS002380	blood_WHITE_COUNT.BOLT-LMM-BBJ	White blood cell count	920936	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002380/ScoringFiles/PGS002380.txt.gz
PGS002381	repro_NumberChildrenEverBorn_Pooled.P+T.0.0001	Number of children ever born	1639	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002381/ScoringFiles/PGS002381.txt.gz
PGS002382	repro_MENARCHE_AGE.P+T.0.0001	Age at menarche	6332	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002382/ScoringFiles/PGS002382.txt.gz
PGS002383	disease_ASTHMA_DIAGNOSED.P+T.0.0001	Asthma	3893	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002383/ScoringFiles/PGS002383.txt.gz
PGS002384	disease_AID_ALL.P+T.0.0001	Autoimmune disease	2563	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002384/ScoringFiles/PGS002384.txt.gz
PGS002385	body_BMIz.P+T.0.0001	Body mass index (BMI)	15518	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002385/ScoringFiles/PGS002385.txt.gz
PGS002386	body_BALDING1.P+T.0.0001	Balding Type 1	7823	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002386/ScoringFiles/PGS002386.txt.gz
PGS002387	bmd_HEEL_TSCOREz.P+T.0.0001	Bone mineral density (BMD)	25831	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002387/ScoringFiles/PGS002387.txt.gz
PGS002388	disease_CARDIOVASCULAR.P+T.0.0001	Cardiovascular disease	5621	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002388/ScoringFiles/PGS002388.txt.gz
PGS002389	repro_ChildLess.P+T.0.0001	Childless	1578	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002389/ScoringFiles/PGS002389.txt.gz
PGS002390	other_MORNINGPERSON.P+T.0.0001	Chronotype (morning person)	3625	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002390/ScoringFiles/PGS002390.txt.gz
PGS002391	cov_EDU_COLLEGE.P+T.0.0001	College education	6535	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002391/ScoringFiles/PGS002391.txt.gz
PGS002392	disease_DERMATOLOGY.P+T.0.0001	Dermatologic diseases	3539	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002392/ScoringFiles/PGS002392.txt.gz
PGS002393	disease_DIABETES_ANY_DIAGNOSED.P+T.0.0001	Diabetes (any type)	3813	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002393/ScoringFiles/PGS002393.txt.gz
PGS002394	bp_DIASTOLICadjMEDz.P+T.0.0001	Diastolic blood pressure	11460	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002394/ScoringFiles/PGS002394.txt.gz
PGS002395	disease_ALLERGY_ECZEMA_DIAGNOSED.P+T.0.0001	Eczema	4367	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002395/ScoringFiles/PGS002395.txt.gz
PGS002396	disease_ENDOCRINE_DIABETES.P+T.0.0001	Endocrine and diabetes diseases	3681	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002396/ScoringFiles/PGS002396.txt.gz
