# E. coli K-12 conditional gene essentiality across 4 minimal media.
# Source: Orth et al. 2011, Mol Syst Biol 7:535 (iJO1366), Supplementary Table 1
#   'Results of the experimental growth phenotype screen'. doi:10.1038/msb.2011.65
# Licence: CC-BY (Molecular Systems Biology open access). Redistributed with attribution.
# Retrieved 2026-08-12 via Europe PMC supplementaryFiles API (PMC3261703).
# exp_* = EXPERIMENTAL essentiality (E/N). fba_* = the PAPER's own iJO1366 FBA prediction (E/N),
#   retained as a reproduction gate -- NOT a label.
gene_id	gene	exp_glucose_aerobic	exp_glucose_anaerobic	exp_lactate_aerobic	exp_succinate_aerobic	fba_glucose_aerobic	fba_glucose_anaerobic	fba_lactate_aerobic	fba_succinate_aerobic	conditionally_essential
b1244	oppB	N	N	N	N	N	N	N	N	NO
b1247	oppF	N	N	N	N	N	N	N	N	NO
b1732	katE	N	N	N	N	N	N	N	N	NO
b1897	otsB	N	N	N	N	N	N	N	N	NO
b2893	dsbC	N	N	N	N	N	N	N	N	NO
b3544	dppA	N	N	N	N	N	N	N	N	NO
b0120	speD	N	N	N	N	N	N	N	N	NO
b0186	ldcC	N	N	N	N	N	N	N	N	NO
b0212	gloB	N	N	N	N	N	N	N	N	NO
b0323	yahI	N	N	N	N	N	N	N	N	NO
b0339	cynT	N	N	N	N	N	N	N	N	NO
b0340	cynS	N	N	N	N	N	N	N	N	NO
b0480	ushA	N	N	N	N	N	N	N	N	NO
b0507	gcl	N	N	N	N	N	N	N	N	NO
b0521	ybcF	N	N	N	N	N	N	N	N	NO
b0677	nagA	N	N	N	N	N	N	N	N	NO
b0678	nagB	N	N	N	N	N	N	N	N	NO
b0693	speF	N	N	N	N	N	N	N	N	NO
b0980	appA	N	N	N	N	N	N	N	N	NO
b1002	agp	N	N	N	N	N	N	N	N	NO
b1014	putA	N	N	N	N	N	N	N	N	NO
b1189	dadA	N	N	N	N	N	N	N	N	NO
b1190	dadX	N	N	N	N	N	N	N	N	NO
b1493	gadB	N	N	N	N	N	N	N	N	NO
b1602	pntB	N	N	N	N	N	N	N	N	NO
b1603	pntA	N	N	N	N	N	N	N	N	NO
b1651	gloA	N	N	N	N	N	N	N	N	NO
b1767	ansA	N	N	N	N	N	N	N	N	NO
b1814	sdaA	N	N	N	N	N	N	N	N	NO
b2028	ugd	N	N	N	N	N	N	N	N	NO
b2038	rfbC	N	N	N	N	N	N	N	N	NO
b2039	rfbA	N	N	N	N	N	N	N	N	NO
b2040	rfbD	N	N	N	N	N	N	N	N	NO
b2041	rfbB	N	N	N	N	N	N	N	N	NO
b2053	gmd	N	N	N	N	N	N	N	N	NO
b2239	glpQ	N	N	N	N	N	N	N	N	NO
b2366	dsdA	N	N	N	N	N	N	N	N	NO
b2502	ppx	N	N	N	N	N	N	N	N	NO
b2541	hcaB	N	N	N	N	N	N	N	N	NO
b2661	gabD	N	N	N	N	N	N	N	N	NO
b2763	cysI	E	E	E	E	E	E	E	E	NO
b2788	gudX	N	N	N	N	N	N	N	N	NO
b2797	sdaB	N	N	N	N	N	N	N	N	NO
b2874	yqeA	N	N	N	N	N	N	N	N	NO
b2903	gcvP	N	N	N	N	N	N	N	N	NO
b2904	gcvH	N	N	N	N	N	N	N	N	NO
b2905	gcvT	N	N	N	N	N	N	N	N	NO
b2938	speA	N	N	N	N	N	N	N	N	NO
b2957	ansB	N	N	N	N	N	N	N	N	NO
b2979	glcD	N	N	N	N	N	N	N	N	NO
b3517	gadA	N	N	N	N	N	N	N	N	NO
b3581	sgbH	N	N	N	N	N	N	N	N	NO
b3617	kbl	N	N	N	N	N	N	N	N	NO
b3821	pldA	N	N	N	N	N	N	N	N	NO
b3924	fpr	N	N	N	N	N	N	N	N	NO
b4070	nrfA	N	N	N	N	N	N	N	N	NO
b4072	nrfC	N	N	N	N	N	N	N	N	NO
b4073	nrfD	N	N	N	N	N	N	N	N	NO
b4079	fdhF	N	N	N	N	N	N	N	N	NO
b4239	treC	N	N	N	N	N	N	N	N	NO
b4266	idnO	N	N	N	N	N	N	N	N	NO
b4268	idnK	N	N	N	N	N	N	N	N	NO
b4322	uxuA	N	N	N	N	N	N	N	N	NO
b0036	caiD	N	N	N	N	N	N	N	N	NO
b0452	tesB	N	N	N	N	N	N	N	N	NO
b1091	fabH	N	N	N	N	N	N	N	N	NO
b1095	fabF	N	N	N	N	N	N	N	N	NO
b1539	ydfG	N	N	N	N	N	N	N	N	NO
b1661	cfa	N	N	N	N	N	N	N	N	NO
b2440	eutC	N	N	N	N	N	N	N	N	NO
b2836	aas	N	N	N	N	N	N	N	N	NO
b3791	rffA	N	N	N	N	N	N	N	N	NO
b3792	wzxE	N	N	N	N	N	N	N	N	NO
b4042	dgkA	N	N	N	N	N	N	N	N	NO
b4069	acs	N	N	N	N	N	N	N	N	NO
b0030	rihC	N	N	N	N	N	N	N	N	NO
b0033	carB	E	E	E	E	N	N	N	N	NO
b0104	guaC	N	N	N	N	N	N	N	N	NO
b0238	gpt	N	N	N	N	N	N	N	N	NO
b0337	codA	N	N	N	N	N	N	N	N	NO
b0477	gsk	N	N	N	N	N	N	N	N	NO
b0523	purE	E	E	E	E	E	E	E	E	NO
b0651	rihA	N	N	N	N	N	N	N	N	NO
b0888	trxB	N	N	N	N	N	N	N	N	NO
b0910	cmk	N	N	N	N	N	N	N	N	NO
b0945	pyrD	E	E	E	E	E	E	E	E	NO
b1062	pyrC	E	E	E	E	E	E	E	E	NO
b1238	tdk	N	N	N	N	N	N	N	N	NO
b4094	phnN	N	N	N	N	N	N	N	N	NO
b0347	mhpA	N	N	N	N	N	N	N	N	NO
b0351	mhpF	N	N	N	N	N	N	N	N	NO
b0352	mhpE	N	N	N	N	N	N	N	N	NO
b0356	frmA	N	N	N	N	N	N	N	N	NO
b0403	malZ	N	N	N	N	N	N	N	N	NO
b0459	maa	N	N	N	N	N	N	N	N	NO
b0614	citX	N	N	N	N	N	N	N	N	NO
b0617	citD	N	N	N	N	N	N	N	N	NO
b0757	galK	N	N	N	N	N	N	N	N	NO
b0758	galT	N	N	N	N	N	N	N	N	NO
b0759	galE	N	N	N	N	N	N	N	N	NO
b0896	dmsC	N	N	N	N	N	N	N	N	NO
b0972	hyaA	N	N	N	N	N	N	N	N	NO
b0973	hyaB	N	N	N	N	N	N	N	N	NO
b0974	hyaC	N	N	N	N	N	N	N	N	NO
b0996	torC	N	N	N	N	N	N	N	N	NO
b0997	torA	N	N	N	N	N	N	N	N	NO
b1064	grxB	N	N	N	N	N	N	N	N	NO
b1226	narJ	N	N	N	N	N	N	N	N	NO
b1227	narI	N	N	N	N	N	N	N	N	NO
b1300	puuC	N	N	N	N	N	N	N	N	NO
b1444	ydcW	N	N	N	N	N	N	N	N	NO
b1465	narV	N	N	N	N	N	N	N	N	NO
b1466	narW	N	N	N	N	N	N	N	N	NO
b1467	narY	N	N	N	N	N	N	N	N	NO
b1468	narZ	N	N	N	N	N	N	N	N	NO
b1476	fdnI	N	N	N	N	N	N	N	N	NO
b1521	uxaB	N	N	N	N	N	N	N	N	NO
b1589	ynfG	N	N	N	N	N	N	N	N	NO
b2205	napG	N	N	N	N	N	N	N	N	NO
b1622	malY	N	N	N	N	N	N	N	N	NO
b1850	eda	N	N	N	N	N	N	N	N	NO
b1851	edd	N	N	N	N	N	N	N	N	NO
b1873	torY	N	N	N	N	N	N	N	N	NO
b1927	amyA	N	N	N	N	N	N	N	N	NO
b2091	gatD	N	N	N	N	N	N	N	N	NO
b2132	bglX	N	N	N	N	N	N	N	N	NO
b2202	napC	N	N	N	N	N	N	N	N	NO
b2204	napH	N	N	N	N	N	N	N	N	NO
b1613	manA	N	N	N	N	N	N	N	N	NO
b2206	napA	N	N	N	N	N	N	N	N	NO
